idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
3,California,Contra Costa County,DANVILLE,"['A', 'A-1', 'A-2', 'C', 'CC', 'D-1', 'FAR', 'G-1', 'I', 'IV', 'L-I', 'O-1', 'OR', 'P-1', 'PARK', 'PUD', 'R-10', 'R-100', 'R-12', 'R-15', 'R-20', 'R-40', 'R-6', 'R-65', 'R-7', 'R-75', 'R-B', 'V']",28,176,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,codelibrary
6,California,Los Angeles County,TEMPLE CITY,"['A', 'ABC', 'B', 'C', 'CC', 'E', 'FAR', 'G', 'I', 'IL', 'MU', 'NC', 'O', 'OR', 'OS', 'P', 'PARK', 'PC', 'PD', 'R', 'R-1', 'R-2', 'R-3', 'RH', 'RL', 'RM', 'RV', 'T', 'U']",29,568,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
22,Florida,Broward County,COOPER CITY,"['A', 'A-1', 'A-2', 'B-1', 'B-2', 'B-3', 'B1', 'B2', 'B3', 'C', 'C-1', 'C-2', 'C1', 'C2', 'CC', 'CP', 'CS', 'E', 'E-1', 'E-2', 'E-3', 'FAR', 'I', 'I-1', 'IV', 'L', 'LM', 'M', 'OP', 'P', 'P-1', 'P1', 'PCD', 'PP', 'PRD', 'PUD', 'R', 'R-1-C', 'R-2', 'R-3', 'R-4', 'R1A', 'R2', 'R3', 'R4', 'TH-1']",46,1990,https://codelibrary.amlegal.com/codes/coopercity/latest/overview,codelibrary
31,Idaho,Canyon County,MIDDLETON,"['A', 'A-R', 'B', 'C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-1', 'R-2', 'R-3', 'RV', 'TOD']",13,29,https://codelibrary.amlegal.com/codes/middletonid/latest/overview,codelibrary
33,Illinois,Cook County,WESTERN SPRINGS,"['A', 'B', 'C1', 'C2', 'DT', 'MXD', 'O', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",13,24,https://codelibrary.amlegal.com/codes/westernspringsil/latest/overview,codelibrary
34,Illinois,DuPage County,BARTLETT,"['A', 'B', 'I', 'PUD']",4,26,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
35,Illinois,DuPage County,HINSDALE,"['A', 'B', 'B-1', 'B-2', 'B-3', 'B1', 'B2', 'C', 'DR', 'E', 'G', 'H', 'HS', 'I', 'IV', 'O-1', 'O-2', 'O-3', 'OS', 'P', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'S', 'V']",28,772,https://codelibrary.amlegal.com/codes/hinsdaleil/latest/overview,codelibrary
36,Illinois,Grundy County,MINOOKA,"['A', 'B', 'B1', 'B2', 'R1', 'R1A', 'R2', 'R3', 'R4', 'R5', 'R6']",11,14,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
39,Illinois,Lake County,LINDENHURST,"['A', 'B', 'C', 'CB', 'E', 'G', 'H', 'I', 'IN', 'L', 'M', 'NB', 'O', 'OSR', 'P', 'PP', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RO', 'RV', 'S', 'SE', 'TV']",26,1609,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
41,Illinois,Will County,MANHATTAN,"['A', 'A-1', 'B', 'BP', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'ER', 'I-1', 'I-2', 'I-3', 'P', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'S']",22,874,https://codelibrary.amlegal.com/codes/manhattanil/latest/overview,codelibrary
